time_id,deprivation_level,lsoa_code,crime_count
2015-03-01,High,E01002723,24
2015-03-01,High,E01002725,6
2015-03-01,High,E01002728,15
2015-03-01,High,E01002729,19
2015-03-01,High,E01002730,31
2015-03-01,High,E01002735,27
2015-03-01,High,E01002753,11
2015-03-01,High,E01002756,7
2015-03-01,High,E01002763,11
2015-03-01,High,E01002764,29
2015-03-01,High,E01002765,19
2015-03-01,High,E01002766,17
2015-03-01,High,E01002768,15
2015-03-01,High,E01002770,57
2015-03-01,High,E01002771,21
2015-03-01,High,E01002772,45
2015-03-01,High,E01002774,22
2015-03-01,High,E01002776,29
2015-03-01,High,E01002777,11
2015-03-01,High,E01002781,17
2015-03-01,High,E01002787,4
2015-03-01,High,E01002797,27
2015-03-01,High,E01002799,14
2015-03-01,High,E01002807,9
2015-03-01,High,E01002809,13
2015-03-01,High,E01002810,23
2015-03-01,High,E01002823,10
2015-03-01,High,E01002832,32
2015-03-01,High,E01002846,10
2015-03-01,High,E01002848,11
2015-03-01,High,E01002906,43
2015-03-01,High,E01002909,13
2015-03-01,High,E01002923,8
2015-03-01,High,E01003021,17
2015-03-01,High,E01003024,27
2015-03-01,High,E01003032,37
2015-03-01,High,E01003050,20
2015-03-01,High,E01003056,13
2015-03-01,High,E01003068,11
2015-03-01,High,E01003069,13
2015-03-01,High,E01003073,20
2015-03-01,High,E01003079,31
2015-03-01,High,E01003081,16
2015-03-01,High,E01003082,8
2015-03-01,High,E01003086,16
2015-03-01,High,E01003088,13
2015-03-01,High,E01003089,24
2015-03-01,High,E01003093,24
2015-03-01,High,E01003094,7
2015-03-01,High,E01003097,12
2015-03-01,High,E01003101,10
2015-03-01,High,E01003105,13
2015-03-01,High,E01003106,9
2015-03-01,High,E01003108,22
2015-03-01,High,E01003109,73
2015-03-01,High,E01003112,15
2015-03-01,High,E01003120,20
2015-03-01,High,E01003121,7
2015-03-01,High,E01003124,6
2015-03-01,High,E01003125,11
2015-03-01,High,E01003126,20
2015-03-01,High,E01003132,21
2015-03-01,High,E01003135,5
2015-03-01,High,E01003137,19
2015-03-01,High,E01003143,14
2015-03-01,High,E01003151,24
2015-03-01,High,E01003154,22
2015-03-01,High,E01003160,13
2015-03-01,High,E01003162,22
2015-03-01,High,E01003164,24
2015-03-01,High,E01003172,21
2015-03-01,High,E01003174,4
2015-03-01,High,E01003183,18
2015-03-01,High,E01003184,12
2015-03-01,High,E01003185,11
2015-03-01,High,E01003193,26
2015-03-01,High,E01003201,14
2015-03-01,High,E01003221,16
2015-03-01,High,E01003229,18
2015-03-01,High,E01003235,12
2015-03-01,High,E01003237,18
2015-03-01,High,E01003240,2
2015-03-01,High,E01003241,6
2015-03-01,High,E01003244,6
2015-03-01,High,E01003248,22
2015-03-01,High,E01003250,14
2015-03-01,High,E01003251,12
2015-03-01,High,E01003256,26
2015-03-01,High,E01003258,8
2015-03-01,High,E01003263,14
2015-03-01,High,E01003265,14
2015-03-01,High,E01003269,8
2015-03-01,High,E01003275,11
2015-03-01,High,E01003286,24
2015-03-01,High,E01003288,28
2015-03-01,High,E01003293,9
2015-03-01,High,E01003295,9
2015-03-01,High,E01003296,68
2015-03-01,High,E01003297,7
2015-03-01,High,E01003298,14
2015-03-01,High,E01003299,29
2015-03-01,High,E01003302,9
2015-03-01,High,E01003309,13
2015-03-01,High,E01003310,13
2015-03-01,High,E01003315,8
2015-03-01,High,E01003317,17
2015-03-01,High,E01003319,18
2015-03-01,High,E01003321,17
2015-03-01,High,E01003326,7
2015-03-01,High,E01003332,8
2015-03-01,High,E01003334,28
2015-03-01,High,E01003337,17
2015-03-01,High,E01003349,5
2015-03-01,High,E01003352,19
2015-03-01,High,E01003373,13
2015-03-01,High,E01003374,25
2015-03-01,High,E01003377,12
2015-03-01,High,E01003379,23
2015-03-01,High,E01003387,11
2015-03-01,High,E01003390,16
2015-03-01,High,E01003430,6
2015-03-01,High,E01003431,10
2015-03-01,High,E01003439,13
2015-03-01,High,E01003450,10
2015-03-01,High,E01003479,7
2015-03-01,High,E01003481,15
2015-03-01,High,E01003482,110
2015-03-01,High,E01003490,12
2015-03-01,High,E01003491,32
2015-03-01,High,E01003493,23
2015-03-01,High,E01003496,19
2015-03-01,High,E01003497,16
2015-03-01,High,E01003498,20
2015-03-01,High,E01003519,5
2015-03-01,High,E01003521,111
2015-03-01,High,E01003522,5
2015-03-01,High,E01003523,25
2015-03-01,High,E01003524,6
2015-03-01,High,E01003525,24
2015-03-01,High,E01003526,12
2015-03-01,High,E01003528,9
2015-03-01,High,E01003531,28
2015-03-01,High,E01003533,2
2015-03-01,High,E01003536,14
2015-03-01,High,E01003538,18
2015-03-01,High,E01003539,12
2015-03-01,High,E01003541,10
2015-03-01,High,E01003542,9
2015-03-01,High,E01003544,21
2015-03-01,High,E01003545,11
2015-03-01,High,E01003546,15
2015-03-01,High,E01003552,12
2015-03-01,High,E01003560,5
2015-03-01,High,E01003563,9
2015-03-01,High,E01003564,7
2015-03-01,High,E01003566,20
2015-03-01,High,E01003567,23
2015-03-01,High,E01003569,34
2015-03-01,High,E01003570,17
2015-03-01,High,E01003571,14
2015-03-01,High,E01003572,20
