time_id,lsoa_code,deprivation_level,crime_count
2015-03-01,E01000401,Medium,3
2015-03-01,E01000402,Medium,1
2015-03-01,E01000403,High,6
2015-03-01,E01000404,High,4
2015-03-01,E01000405,High,1
2015-03-01,E01000406,Medium,4
2015-03-01,E01000407,Low,1
2015-03-01,E01000408,Medium,2
2015-03-01,E01000410,Very Low,3
2015-03-01,E01000412,Very Low,1
2015-03-01,E01000414,Very Low,4
2015-03-01,E01000415,Very Low,1
2015-03-01,E01000416,Medium,2
2015-03-01,E01000418,Low,3
2015-03-01,E01000422,Very High,4
2015-03-01,E01000426,Very Low,2
2015-03-01,E01000427,Very Low,4
2015-03-01,E01000428,Medium,2
2015-03-01,E01000429,Very High,4
2015-03-01,E01000430,Low,1
2015-03-01,E01000431,Very High,7
2015-03-01,E01000432,Medium,4
2015-03-01,E01000434,Very High,3
2015-03-01,E01000435,High,5
2015-03-01,E01000437,Very Low,1
2015-03-01,E01000438,Very Low,1
2015-03-01,E01000439,Medium,2
2015-03-01,E01000441,High,7
2015-03-01,E01000445,Very Low,1
2015-03-01,E01000446,Very Low,3
2015-03-01,E01000447,Very Low,6
2015-03-01,E01000451,Very Low,2
2015-03-01,E01000455,Very Low,1
2015-03-01,E01000457,Very Low,4
2015-03-01,E01000458,Very Low,1
2015-03-01,E01000459,Low,1
2015-03-01,E01000461,Very Low,2
2015-03-01,E01000462,Low,1
2015-03-01,E01000464,Medium,3
2015-03-01,E01000465,High,3
2015-03-01,E01000466,Medium,8
2015-03-01,E01000467,Low,2
2015-03-01,E01000468,Medium,1
2015-03-01,E01000469,Low,2
2015-03-01,E01000472,Medium,4
2015-03-01,E01000473,Medium,5
2015-03-01,E01000474,Medium,2
2015-03-01,E01000475,Medium,4
2015-03-01,E01000476,Low,2
2015-03-01,E01000477,Medium,6
2015-03-01,E01000478,Medium,1
2015-03-01,E01000480,Very Low,2
2015-03-01,E01000481,High,3
2015-03-01,E01000482,High,11
2015-03-01,E01000483,High,4
2015-03-01,E01000484,Very High,3
2015-03-01,E01000485,High,3
2015-03-01,E01000486,Low,1
2015-03-01,E01000487,Low,2
2015-03-01,E01000488,Medium,5
2015-03-01,E01000489,Medium,3
